result,table,_start,_stop,_time,_value,_field,_measurement,host,interface
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:39:20+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:39:25+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:39:30+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:39:35+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:39:40+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:39:45+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:39:50+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:39:55+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:40:00+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:40:05+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:40:10+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:40:15+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:40:20+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:40:25+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:40:30+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:40:35+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:40:40+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:40:45+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:40:50+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:40:55+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:41:00+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:41:05+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:41:10+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:41:15+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:41:20+00:00,0,beacon,wireless,pi,wlan0
